File,D_refs_1,D1_misses_1,D_refs_2,D1_misses_2
236, 303502884, 1711235, 317789204, 513747
237, 306934471, 1725580, 322382369, 728883
238, 310360358, 1754634, 324850393, 169111
239, 313848735, 1769164, 614020950, 30885240
240, 317351269, 1798270, 334597817, 2078025
241, 320876287, 1813221, 628648876, 31636572
242, 324383924, 1843123, 346967317, 147317
243, 327999317, 1858264, 349183815, 144374
244, 331589810, 1888466, 348821987, 2130632
245, 335210372, 1903785, 378968824, 429129
246, 338855858, 1934800, 387953951, 412075
247, 342520484, 1950307, 373574926, 412159
248, 346223662, 1981378, 387599754, 324775
249, 349929125, 1997321, 437165312, 835229
250, 353696896, 2029216, 370418400, 148339
251, 357441175, 2045351, 705145100, 35826224
252, 361279029, 2077551, 380166846, 2366119
253, 365117543, 2093879, 390679205, 283016
254, 368965677, 2126912, 386903037, 1223789
255, 372834360, 2143438, 404266601, 232983
256, 376747840, 2176529, 400200553, 159349
257, 380478473, 2193500, 753722818, 38354025
258, 384453062, 2227449, 403721469, 2419653
259, 388426621, 2244620, 440281067, 551955
25, 1482486, 3119, 1539478, 3129
260, 392461200, 2278879, 428293433, 253447
261, 396513573, 2296239, 416453227, 164534
262, 400569236, 2331369, 420203386, 1336135
263, 404701977, 2348934, 804707756, 41133995
264, 408794128, 2384115, 437199937, 3066408
265, 412961496, 2402147, 435759686, 150651
266, 417151907, 2438212, 472977694, 444363
267, 421353745, 2456443, 528929681, 1013718
268, 425617715, 2492829, 446339275, 733113
269, 429881583, 2511263, 857898379, 43972766
26, 1605062, 3196, 1634775, 3204
270, 434169022, 2548541, 455128023, 2788283
271, 438483477, 2567181, 876119900, 44996228
272, 442875532, 2604522, 479857209, 244077
273, 447229419, 2623638, 474098821, 3213942
274, 451639248, 2661886, 615906377, 1498453
275, 456104409, 2681208, 481410156, 162169
276, 460557254, 2719788, 493586661, 3736680
277, 465073166, 2739329, 932431004, 48008059
278, 469553641, 2778818, 492895494, 1581026
279, 474117457, 2798568, 504838391, 185403
27, 1743925, 3224, 1852661, 3232
280, 478694137, 2838129, 505309740, 3232237
281, 483317399, 2858366, 971218949, 50115131
282, 487960812, 2898847, 516261829, 195331
283, 492662106, 2919306, 991057503, 51309278
284, 497347277, 2960138, 524449185, 964296
285, 502074083, 2980811, 546048363, 312633
286, 506811363, 3022582, 531638441, 3301270
287, 511628432, 3043470, 582219590, 717539
288, 516446045, 3085311, 546436002, 3522346
289, 521256759, 3106701, 564939269, 580638
28, 1882008, 3309, 1940757, 3315
290, 526150384, 3149490, 561488786, 243582
291, 531031192, 3171111, 670332334, 1287914
292, 535958496, 3214263, 647355633, 933565
293, 540963140, 3236100, 1094089815, 56804436
294, 545951350, 3280215, 621409193, 591720
295, 550956008, 3302280, 648163858, 943657
296, 556012657, 3346474, 626520770, 526524
297, 561101329, 3369047, 599980698, 235204
298, 566226441, 3414204, 594823571, 1904508
299, 571372672, 3437021, 613744834, 456072
29, 2025865, 3341, 2559996, 3345
300, 576556020, 3482550, 627848853, 332502
301, 581731833, 3505583, 663183099, 810660
302, 587014345, 3552110, 616749109, 2001762
303, 592260983, 3575374, 623569667, 1426566
304, 597589832, 3621970, 649330049, 326881
305, 602888153, 3645770, 636801343, 4146502
306, 608255206, 3693365, 639867151, 219722
307, 613644824, 3717405, 1249921469, 65469962
308, 619089734, 3765382, 705889483, 661995
309, 624535546, 3789644, 657669306, 1522372
30, 2181080, 3430, 2224127, 3429
310, 630020517, 3838648, 672315818, 278217
311, 635554402, 3863148, 1297030979, 67963330
312, 641093951, 3912214, 688166559, 5159256
313, 646696908, 3937258, 1321019166, 69232083
314, 652291187, 3987357, 685618991, 2212599
315, 657964503, 4012654, 695128447, 4610609
316, 663618240, 4063139, 700366902, 1292574
317, 669383139, 4088677, 1369893624, 71917222
318, 675122900, 4140203, 709235128, 836839
319, 680880042, 4165971, 728163290, 423750
31, 2334124, 3475, 2986747, 3475
320, 686696218, 4217576, 729876985, 242004
321, 692548421, 4243902, 879568878, 1694195
322, 698437385, 4296562, 751066929, 5916187
323, 704374992, 4323150, 762410233, 705340
324, 710313415, 4376213, 752069258, 250017
325, 716295659, 4403030, 786714461, 549904
326, 722280151, 4457164, 759479191, 2491187
327, 728316696, 4484241, 767347743, 1767599
