File,D_refs_1,D1_misses_1,D_refs_2,D1_misses_2
252, 361279037, 2077551, 378367473, 2199081
253, 365117549, 2093879, 382405870, 2232336
254, 368965677, 2126912, 386455433, 2283315
255, 372834349, 2143438, 390527092, 2300966
256, 376747840, 2176529, 394645128, 2301781
257, 380478479, 2193500, 398581892, 2336715
258, 384453062, 2227449, 402764172, 2354839
259, 388426613, 2244620, 406947004, 2407211
25, 1482488, 3119, 1500062, 3122
260, 392461200, 2278879, 411192446, 2408167
261, 396513573, 2296239, 415457292, 2443511
262, 400569236, 2331369, 419727010, 2497676
263, 404701972, 2348934, 424075419, 2516401
264, 408794128, 2384115, 428384848, 2517241
265, 412961496, 2402147, 432771113, 2554325
266, 417151907, 2438212, 437182045, 2573542
267, 421353745, 2456443, 441606040, 2629129
268, 425617715, 2492829, 446093791, 2630114
269, 429881589, 2511263, 450583088, 2667621
26, 1605060, 3196, 1624732, 3198
270, 434169014, 2548541, 455097604, 2725055
271, 438483483, 2567181, 459640794, 2744890
272, 442875537, 2604522, 464263243, 2745761
273, 447229419, 2623638, 468849180, 2785050
274, 451639248, 2661886, 473492738, 2805395
275, 456104410, 2681208, 478193307, 2864292
276, 460557254, 2719788, 482883248, 2865311
277, 465073166, 2739329, 487637925, 2905046
278, 469553641, 2778818, 492358891, 2965844
279, 474117457, 2798568, 497164887, 2986824
27, 1743929, 3224, 1765883, 3226
280, 478694137, 2838129, 501985455, 2987722
281, 483317401, 2858366, 506854308, 3029285
282, 487960820, 2898847, 511745046, 3050776
283, 492662112, 2919306, 516695387, 3113093
284, 497347277, 2960138, 521631337, 3114139
285, 502074083, 2980811, 526610660, 3156159
286, 506811357, 3022582, 531602201, 3220424
287, 511628426, 3043470, 536675281, 3242577
288, 516446045, 3085311, 541750667, 3243498
289, 521256761, 3106701, 546820900, 3287399
28, 1882014, 3309, 1906402, 3309
290, 526150390, 3149490, 551975832, 3310079
291, 531031194, 3171111, 557119712, 3375905
292, 535958501, 3214263, 562311860, 3376982
293, 540963150, 3236100, 567583147, 3421351
294, 545951350, 3280215, 572839784, 3489177
295, 550956012, 3302280, 578114664, 3512542
296, 556012657, 3346474, 583443345, 3513495
297, 561101324, 3369047, 588805853, 3559796
298, 566226447, 3414204, 594206631, 3583693
299, 571372672, 3437021, 599630337, 3653127
29, 2025859, 3341, 2052859, 3342
300, 576556020, 3482550, 605092996, 3654228
301, 581731846, 3505583, 610549952, 3701010
302, 587014347, 3552110, 616115444, 3772497
303, 592260979, 3575374, 621646894, 3797096
304, 597589838, 3621970, 627262438, 3798066
305, 602888157, 3645770, 632849284, 3846843
306, 608255206, 3693365, 638506744, 3871995
307, 613644824, 3717405, 644188637, 3945126
308, 619089734, 3765382, 649927690, 3946258
309, 624535546, 3789644, 655669530, 3995518
30, 2181080, 3430, 2210872, 3431
310, 630020517, 3838648, 661452423, 4070763
311, 635554402, 3863148, 667286121, 4096633
312, 641093961, 3912214, 673127380, 4097624
313, 646696902, 3937258, 679033945, 4148926
314, 652291187, 3987357, 684933757, 4175367
315, 657964500, 4012654, 690914517, 4252294
316, 663618234, 4063139, 696877628, 4253453
317, 669383139, 4088677, 702953834, 4305270
318, 675122901, 4140203, 709006822, 4384350
319, 680880042, 4165971, 715079153, 4411523
31, 2334118, 3475, 2366886, 3475
320, 686696223, 4217576, 721212450, 4412540
321, 692548417, 4243902, 727383730, 4466437
322, 698437385, 4296562, 733593745, 4494192
323, 704374998, 4323150, 739854353, 4575013
324, 710313414, 4376213, 746117755, 4576205
325, 716295665, 4403030, 752426966, 4630614
326, 722280139, 4457164, 758740377, 4713647
327, 728316690, 4484241, 765107869, 4742164
328, 734378999, 4538444, 771503090, 4743202
329, 740542691, 4566087, 778001710, 4799761
32, 2504984, 3620, 2540918, 3621
330, 746680246, 4621377, 784476206, 4828867
331, 752840701, 4649276, 790975608, 4913666
332, 759050519, 4704979, 797526403, 4914889
333, 765312207, 4733124, 804131088, 4971971
334, 771574867, 4789923, 810738783, 5059046
335, 777876170, 4818325, 817387141, 5088923
336, 784247760, 4875207, 824107854, 5089999
337, 790631032, 4904187, 830842275, 5149272
338, 797067687, 4962169, 837632153, 5179759
339, 803453752, 4991424, 844373494, 5268645
33, 2677385, 3692, 2716678, 3696
340, 809967371, 5049821, 851244457, 5269889
341, 816464319, 5079327, 858100842, 5329709
342, 823039129, 5138861, 865037191, 5420935
343, 829620199, 5168625, 871981802, 5452202
344, 836236148, 5228234, 878963434, 5453300
345, 842874736, 5258594, 885969840, 5515369
346, 849562973, 5319333, 893027917, 5547263
347, 856287684, 5349966, 900124661, 5640329
348, 863055083, 5411133, 907266178, 5641606
349, 869829688, 5442029, 914417006, 5704225
34, 2851120, 3836, 2893990, 3836
350, 876682315, 5504346, 921647995, 5799668
351, 883512482, 5535520, 928858595, 5832380
352, 890396764, 5597905, 936125549, 5833492
353, 897362857, 5629691, 943476372, 5898414
354, 904345717, 5693249, 950846163, 5931759
355, 911313212, 5725303, 958202747, 6029098
356, 918342371, 5789299, 965623153, 6030403
357, 925425475, 5821614, 973099678, 6095882
358, 932547217, 5886789, 980617029, 6195656
359, 939723027, 5919379, 988190612, 6229826
35, 3034518, 3889, 3081157, 3890
360, 946894390, 5984640, 995761942, 6230974
361, 954139145, 6017854, 1003408852, 6298804
362, 961376638, 6084297, 1011050715, 6333627
363, 968664480, 6117795, 1020602659, 6388325
364, 976023884, 6184689, 1028381068, 6406308
365, 983400234, 6218469, 1036178648, 6424594
366, 990795547, 6286560, 1043997767, 6441985
367, 998238544, 6320600, 1051866195, 6459609
368, 1005762401, 6388785, 1059818068, 6478892
369, 1013256345, 6423481, 1067742285, 6497183
36, 3230432, 4071, 3281077, 4071
370, 1020799288, 6492864, 1075717797, 6514547
371, 1028413875, 6527851, 1083767219, 6533515
372, 1036023933, 6597699, 1091814749, 6551517
373, 1043666177, 6632955, 1099896424, 6569818
374, 1051436476, 6704032, 1108108431, 6587208
375, 1059128143, 6739573, 1116244124, 6604854
376, 1066920259, 6810738, 1124482587, 6638987
377, 1074746083, 6846938, 1132757076, 7034288
378, 1082603637, 6919342, 1141065605, 6675007
379, 1090500425, 6955829, 1149415366, 7107138
37, 3432465, 4126, 3487321, 4126
380, 1098407992, 7028703, 1157778583, 7126294
381, 1106392041, 7065483, 1166220595, 7179955
382, 1114421215, 7139603, 1174710144, 7508855
383, 1122449431, 7176667, 1183201043, 7560125
384, 1130532015, 7250888, 1191748669, 7669331
385, 1138671674, 7288623, 1200355722, 7742239
386, 1146804618, 7364099, 1208958475, 7745552
387, 1155001198, 7402137, 1217627226, 7855813
388, 1163240835, 7478096, 1226341403, 7894717
389, 1171517323, 7516416, 1235094846, 7968937
38, 3633618, 4247, 3692909, 4249
390, 1179819815, 7593664, 1243876687, 7974429
391, 1188183725, 7632282, 1252722342, 8013634
392, 1196542725, 7709608, 1261565480, 8125457
393, 1204993304, 7748911, 1270502612, 8201006
394, 1213433648, 7827539, 1279431950, 8204741
395, 1221977377, 7867144, 1288467086, 8316830
396, 1230523160, 7946255, 1297506688, 8356877
397, 1239046980, 7986160, 1306526814, 8432969
398, 1247715257, 8066570, 1315693801, 8436904
399, 1256381137, 8106789, 1324860842, 8476859
39, 3849104, 4301, 3913073, 4302
400, 1265071812, 8187289, 1334055169, 8591299
401, 1273803265, 8228200, 1343292712, 8668725
402, 1282580199, 8310025, 1352578191, 8672852
403, 1291436172, 8351244, 1361945186, 8787551
404, 1300312064, 8433562, 1371334589, 8828727
405, 1309198453, 8475089, 1380736990, 8906688
406, 1318155491, 8558736, 1390212513, 8911017
407, 1327088307, 8600570, 1399666324, 8952094
408, 1336137155, 8684316, 1409238651, 9069161
409, 1345223862, 8726858, 1418851355, 9148453
40, 4069400, 4454, 4138304, 4454
410, 1354323248, 8811945, 1428479262, 9152974
411, 1363494008, 8854813, 1438181069, 9270285
412, 1372676053, 8940419, 1447896668, 9312608
413, 1381869730, 8983573, 1457626453, 9392410
414, 1391165761, 9070537, 1467461154, 9397150
415, 1400513403, 9114031, 1477349953, 9439362
416, 1409870605, 9201071, 1487250894, 9559041
417, 1419245510, 9245286, 1497172113, 9640208
418, 1428702815, 9333699, 1507178283, 9645122
419, 1438209970, 9378236, 1517236860, 9765034
41, 4296331, 4495, 4370405, 4496
420, 1447698805, 9467181, 1527279705, 9808490
421, 1457251361, 9512028, 1537388865, 10094708
422, 1466908807, 9602348, 1547605480, 10095006
423, 1476541032, 9647510, 1557799469, 10144552
424, 1486221131, 9737931, 1568043940, 10283425
425, 1495943159, 9783851, 1578332952, 10381836
426, 1505736996, 9875660, 1588696370, 10384311
427, 1515560076, 9921902, 1599091675, 10524845
428, 1525432725, 10014256, 1609539160, 10573875
429, 1535283860, 10060809, 1619967750, 10669141
42, 4538028, 4593, 4617512, 4593
430, 1545250221, 10154560, 1630514219, 10671862
431, 1555225101, 10201445, 1641071832, 10720810
432, 1565258550, 10295305, 1651690656, 10864908
