File,D_refs_1,D1_misses_1,D_refs_2,D1_misses_2
255, 372834355, 2143438, 403725009, 454809
256, 376747850, 2176529, 407944981, 423963
257, 380478477, 2193500, 412968491, 458914
258, 384453060, 2227449, 409427516, 243009
259, 388426613, 2244620, 410761992, 169702
25, 1482488, 3119, 1500064, 3122
260, 392461205, 2278879, 414070160, 2466517
261, 396513573, 2296239, 419330962, 169631
262, 400569242, 2331369, 423630202, 173839
263, 404701978, 2348934, 429000694, 195876
264, 408794134, 2384115, 435358360, 248467
265, 412961496, 2402147, 439797005, 250637
266, 417151917, 2438212, 441204402, 176939
267, 421353745, 2456443, 445658458, 174582
268, 425617709, 2492829, 450176401, 175389
269, 429881583, 2511263, 453662081, 2383217
26, 1605058, 3196, 1624740, 3198
270, 434169020, 2548541, 459240908, 180409
271, 438483483, 2567181, 466985096, 262244
272, 442875532, 2604522, 480346128, 504662
273, 447229419, 2623638, 487273802, 604043
274, 451639248, 2661886, 492050040, 603841
275, 456104410, 2681208, 486849349, 299543
276, 460557264, 2719788, 488303112, 210577
277, 465073162, 2739329, 490901558, 2313696
278, 469553635, 2778818, 495645963, 167368
279, 474117459, 2798568, 502702231, 222127
27, 1743925, 3224, 1765880, 3226
280, 478694143, 2838129, 507562255, 216264
281, 483317395, 2858366, 512470703, 221012
282, 487960816, 2898847, 520842491, 311033
283, 492662106, 2919306, 525856787, 315248
284, 497347285, 2960138, 527367317, 222000
285, 502074089, 2980811, 532386791, 226825
286, 506811357, 3022582, 537418613, 229071
287, 511628426, 3043470, 541352665, 201336
288, 516446049, 3085311, 546460469, 203084
289, 521256761, 3106701, 551563255, 202127
28, 1882014, 3309, 1906394, 3309
290, 526150384, 3149490, 560374944, 299489
291, 531031193, 3171111, 571739665, 456740
292, 535958490, 3214263, 585890784, 733199
293, 540963144, 3236100, 591320740, 738758
294, 545951352, 3280215, 589028758, 535985
295, 550956002, 3302280, 586803127, 300257
296, 556012657, 3346474, 589670305, 239705
297, 561101324, 3369047, 593812523, 215367
298, 566226441, 3414204, 599246835, 216374
299, 571372678, 3437021, 607266393, 279869
29, 2025865, 3341, 2052867, 3342
300, 576556020, 3482550, 612779782, 280945
301, 581731839, 3505583, 615691458, 220784
