File,D_refs_1,D1_misses_1,D_refs_2,D1_misses_2
287,511628426,3043375,582219590,717326
288,516446055,3085216,546411702,3473425
289,521256755,3106607,564939265,580417
28,1882008,2761,1940757,2762
290,526150390,3149396,561427613,196287
291,531031193,3171016,670332340,1287679
292,535958495,3214169,647355639,933326
293,540963140,3236007,1094089820,3225319
294,545951349,3280120,621409199,591449
295,550956002,3302185,648163858,943430
296,556012663,3346380,626520770,526288
297,561101328,3368952,599980704,235033
298,566226441,3414110,594823565,1904397
299,571372672,3436926,613744840,455881
29,2025867,2776,2559996,2777
300,576556025,3482457,627848857,332308
301,581731839,3505491,663183105,810447
302,587014345,3552016,616749115,2001639
303,592260979,3575282,623569667,1426429
304,597589838,3621877,627288097,187800
305,602888153,3645676,636801349,195721
306,608255212,3693272,639847773,180371
307,613644824,3717310,1249921457,3705347
308,619089734,3765290,705889477,661756
309,624535546,3789551,657669308,1522236
30,2181091,2825,2224125,2826
310,630020528,3838555,672250454,224839
311,635554412,3863055,1297030976,3850934
312,641093957,3912120,674520899,186435
313,646696898,3937166,1321019189,3924812
314,652291193,3987266,685618991,2212491
315,657964501,4012558,695106293,177176
316,663618239,4063047,699700227,178669
317,669383145,4088584,1369893633,4076071
318,675122900,4140111,709235134,836719
319,680880048,4165879,728163290,423562
31,2334129,2841,2986747,2842
320,686696223,4217483,729841009,207289
321,692548417,4243810,879568870,1693952
322,698437385,4296470,751066918,296554
323,704374992,4323057,762410222,705140
324,710313409,4376121,752028257,200300
325,716295659,4402939,786714455,549700
326,722280139,4457071,759479191,2491064
327,728316749,4484153,767347738,1767461
328,734378999,4538354,830423640,699009
329,740542738,4566003,785682599,295658
32,2504990,2908,2555953,2909
330,746680291,4621293,790607099,208176
331,752840753,4649189,1550336950,4635289
332,759050572,4704896,797904895,1342997
333,765312260,4733039,805737373,259999
334,771574926,4789838,811514427,2670371
335,777876217,4818240,920290803,1327634
336,784247824,4875122,832034200,5631050
337,790631087,4904102,1632292627,4889782
338,797067740,4962085,876132131,512984
339,803453803,4991337,1023758755,1975625
33,2677390,2930,2749097,2931
340,809967418,5049739,854509969,5432684
341,816464378,5079242,873032523,481530
342,823039182,5138778,876533264,3830804
343,829620246,5168540,950211511,1140131
344,836236148,5228142,947086393,798050
345,842874783,5258508,907731727,379776
346,849562979,5319243,893860494,2924872
347,856287745,5349880,1775130570,5334614
348,863055141,5411050,910686747,5895268
